市州,year,人口密度(人/平方公里),人均GDP,全年降水量( millimeters),城镇化率(%),平均海拔（m）,年平均温度(℃),年平均相对湿度(%),文化体育传媒支出（万元）,city_id
乐山市教育局,2018,257.0,53633.0,1511.9,51.83,360.0,18.5,71.0,87008.0,0
乐山市教育局,2019,257.0,58942.0,1483.1,53.36,360.0,18.15,76.0833333333333,48412.0,0
乐山市教育局,2020,248.0,63188.0,1555.3,53.11,360.0,18.2916666666667,79.5,178406.0,0
乐山市教育局,2021,247.661715004323,69501.0,1166.4,54.07,360.0,18.525,79.75,100530.0,0
乐山市教育局,2022,248.0,73249.0,1061.1,54.57,360.0,19.0666666666667,76.4166666666667,75546.0,0
乐山市教育局,2023,247.3473237444,77699.0,858.2,55.79,360.0,19.1,74.0,63489.0,0
内江市教育局,2018,687.0,40062.0,1044.8,49.1,350.0,18.1,81.0,32149.0,1
内江市教育局,2019,687.0,43754.0,896.4,50.58,350.0,17.9166666666667,82.8333333333333,39945.0,1
内江市教育局,2020,584.0,45553.0,1025.8,50.07,350.0,18.2583333333333,79.5,45745.0,1
内江市教育局,2021,576.448084387245,51377.0,1246.3,51.08,350.0,18.2333333333333,81.0,29893.0,1
内江市教育局,2022,573.0,53519.0,877.6,51.56,350.0,18.6333333333333,77.75,39486.0,1
内江市教育局,2023,568.833918324141,58758.0,778.5,52.57,350.0,19.0,77.0,50950.0,1
凉山彝族自治州教育局,2018,81.0,32413.0,1137.7,35.71,1500.0,17.9,58.0,78963.0,2
凉山彝族自治州教育局,2019,82.0,34566.0,822.5,37.13,1500.0,19.1833333333333,50.6666666666667,110047.0,2
凉山彝族自治州教育局,2020,81.0,35720.0,1182.5,36.96,1500.0,18.1,56.5833333333333,117945.0,2
凉山彝族自治州教育局,2021,80.8366946184057,39396.0,966.4,38.66,1500.0,18.5333333333333,56.8333333333333,101039.0,2
凉山彝族自治州教育局,2022,81.0,42629.0,894.6,39.46,1500.0,17.6166666666667,59.75,107472.0,2
凉山彝族自治州教育局,2023,81.3674238403567,46159.0,1003.3,41.38,1500.0,19.1,54.0,116858.0,2
南充市教育局,2018,516.0,36390.0,1027.8,48.14,310.0,17.6,78.0,72326.0,3
南充市教育局,2019,516.0,40145.0,1197.4,49.72,310.0,17.425,81.6666666666667,73273.0,3
南充市教育局,2020,450.0,41717.0,1180.5,50.22,310.0,17.6833333333333,81.0833333333333,92045.0,3
南充市教育局,2021,445.773090116372,46743.0,1262.8,51.22,310.0,17.6666666666667,80.9166666666667,75582.0,3
南充市教育局,2022,445.0,47092.0,999.3,51.75,310.0,18.575,76.8333333333333,61923.0,3
南充市教育局,2023,441.685634597506,49453.0,1088.4,52.83,310.0,18.3,79.0,71105.0,3
宜宾市教育局,2018,343.0,51941.0,1190.0,49.64,320.0,17.7,81.0,46704.0,4
宜宾市教育局,2019,345.0,57820.0,1130.5,51.19,320.0,17.5416666666667,84.6666666666667,65715.0,4
宜宾市教育局,2020,346.0,61427.0,1746.0,51.39,320.0,17.6666666666667,84.0,79895.0,4
宜宾市教育局,2021,347.12276311227,69531.0,1206.3,52.94,320.0,17.8583333333333,85.1666666666667,77648.0,4
宜宾市教育局,2022,348.0,75552.0,1020.0,53.55,320.0,18.6166666666667,79.6666666666667,82541.0,4
宜宾市教育局,2023,348.856492439433,82341.0,641.3,54.91,320.0,18.8,76.0,89901.0,4
巴中市教育局,2018,270.0,24596.0,1157.9,41.85,390.0,17.6,74.0,34062.0,5
巴中市教育局,2019,270.0,26377.0,1728.7,43.35,390.0,16.425,79.0,36518.0,5
巴中市教育局,2020,221.0,25720.0,936.0,46.16,390.0,16.6083333333333,80.0833333333333,62276.0,5
巴中市教育局,2021,217.679549022638,27322.0,1716.6,46.92,390.0,16.3416666666667,78.75,48156.0,5
巴中市教育局,2022,216.0,27780.0,1165.6,47.34,390.0,17.25,74.0833333333333,46873.0,5
巴中市教育局,2023,213.85632824384,29517.0,1060.1,48.52,390.0,17.0,75.0,51584.0,5
广元市教育局,2018,164.0,36749.0,1086.5,45.63,520.0,16.3,69.0,48572.0,6
广元市教育局,2019,164.0,40355.0,964.6,47.2,520.0,15.9916666666667,69.0833333333333,47933.0,6
广元市教育局,2020,141.0,43337.0,1107.0,47.04,520.0,16.4333333333333,68.5833333333333,43333.0,6
广元市教育局,2021,139.966035399207,48638.0,1485.1,48.06,520.0,16.425,72.1666666666667,45926.0,6
广元市教育局,2022,139.0,48972.0,879.4,48.55,520.0,16.925,70.3333333333333,45486.0,6
广元市教育局,2023,137.881565314418,52204.0,785.5,49.57,520.0,17.0,69.0,50720.0,6
广安市教育局,2018,511.0,35999.0,974.8,41.86,320.0,17.6,78.0,33582.0,7
广安市教育局,2019,513.0,38702.0,1010.7,43.26,320.0,17.325,79.5,39692.0,7
广安市教育局,2020,514.0,40073.0,1074.0,44.07,320.0,17.575,81.0,43483.0,7
广安市教育局,2021,512.262439870673,43558.0,1486.6,44.86,320.0,17.6583333333333,83.1666666666667,33710.0,7
广安市教育局,2022,511.0,43941.0,977.3,45.32,320.0,18.7333333333333,78.3333333333333,32193.0,7
广安市教育局,2023,508.792681965145,46798.0,988.7,46.57,320.0,18.1,80.0,47336.0,7
德阳市教育局,2018,600.0,61788.0,1650.6,52.35,485.0,17.0,78.0,33591.0,8
德阳市教育局,2019,603.0,67005.0,726.8,53.89,485.0,16.975,79.6666666666667,34939.0,8
德阳市教育局,2020,585.0,68847.0,1132.1,55.97,485.0,17.2416666666667,75.5833333333333,59388.0,8
德阳市教育局,2021,585.298994889844,77703.0,1060.7,57.07,485.0,17.075,79.0833333333333,91621.0,8
德阳市教育局,2022,586.0,81650.0,735.8,57.61,485.0,17.6166666666667,77.0,54376.0,8
德阳市教育局,2023,584.283732105993,87197.0,712.0,58.77,485.0,17.7,75.0,127970.0,8
成都市教育局,2018,1139.0,80503.0,1250.3,73.12,500.0,16.7,81.0,376326.0,9
成都市教育局,2019,1157.0,84584.0,1107.5,74.41,500.0,16.5166666666667,83.1666666666667,457786.0,9
成都市教育局,2020,1461.0,86266.0,1229.6,78.77,500.0,16.775,79.4166666666667,478758.0,9
成都市教育局,2021,1478.33972793861,94837.0,918.3,79.48,500.0,16.8833333333333,80.0,584417.0,9
成都市教育局,2022,1484.0,97925.0,984.5,79.89,500.0,17.5333333333333,79.0,542019.0,9
成都市教育局,2023,1493.05894663411,103465.0,1044.8,80.5,500.0,17.5,78.0,535085.0,9
攀枝花市教育局,2018,167.0,77231.0,822.2,66.59,1150.0,21.0,57.0,19219.0,10
攀枝花市教育局,2019,164.0,82403.0,685.9,66.77,1150.0,22.5666666666667,51.25,22259.0,10
攀枝花市教育局,2020,164.0,84404.0,702.4,69.57,1150.0,21.9,54.1666666666667,23447.0,10
攀枝花市教育局,2021,164.023022671387,94793.0,668.7,69.92,1150.0,21.95,54.3333333333333,21404.0,10
攀枝花市教育局,2022,164.0,100454.0,652.1,70.23,1150.0,20.7583333333333,57.9166666666667,20692.0,10
攀枝花市教育局,2023,164.563460966844,107133.0,519.8,70.78,1150.0,22.5,53.0,26819.0,10
泸州市教育局,2018,353.0,44918.0,1388.4,50.46,260.0,18.2,82.0,55345.0,11
泸州市教育局,2019,354.0,48903.0,1036.3,52.0,260.0,18.1083333333333,82.8333333333333,84376.0,11
泸州市教育局,2020,348.0,50885.0,1396.8,50.24,260.0,17.9666666666667,82.0833333333333,93183.0,11
泸州市教育局,2021,348.065575914091,57132.0,817.0,51.36,260.0,18.475,80.4166666666667,103283.0,11
