市州,year,city_id,grade_id,obs_id,F_strength,F_speed,F_endurance,F_flexibility
乐山市教育局,2019,0,1,0,-0.420575172,-0.877083264,0.12700301370934933,-0.495439329
乐山市教育局,2019,0,2,1,-0.202898198,-0.983125857,-0.209902654,-0.267664061
乐山市教育局,2019,0,3,2,-0.006286414,-1.17236475,0.447081284906202,-0.052060982
乐山市教育局,2019,0,0,3,-1.351570677,0.06860902372749336,-1.572083699,-0.111484599
乐山市教育局,2019,0,4,4,-1.551430003,0.2113021404464369,-1.699071787,-0.151445388
内江市教育局,2019,1,1,5,-0.740548886,-1.365111985,-0.042462995,-0.401645869
内江市教育局,2019,1,2,6,-0.594898672,-1.564233455,-0.133153027,-0.119249447
内江市教育局,2019,1,3,7,-0.684078987,-1.583251063,0.3679872601992855,0.10693910442648116
内江市教育局,2019,1,0,8,-1.743884815,-0.050744603,-1.812396742,-0.852450708
内江市教育局,2019,1,4,9,-1.540187874,-0.192587262,-1.017765884,-0.653049706
凉山彝族自治州教育局,2019,2,1,10,1.2238228342582607,-0.758727315,-0.840196413,0.57412276454528
凉山彝族自治州教育局,2019,2,2,11,0.014898371529942701,-1.793957683,-0.375356445,1.4652776360861883
凉山彝族自治州教育局,2019,2,3,12,-0.58074881,-2.102755996,0.19306255812045156,2.0029851597049926
凉山彝族自治州教育局,2019,2,0,13,-2.057167143,-0.547660519,1.0163866417612375,0.6471999142151857
凉山彝族自治州教育局,2019,2,4,14,-2.81788685,-0.15971995,0.4301899233619025,1.1112382196614952
南充市教育局,2019,3,1,15,0.16795588398656375,-2.154029055,-1.002379577,-0.840194458
南充市教育局,2019,3,2,16,-0.721818288,-2.084332485,-0.983106199,-0.303459509
南充市教育局,2019,3,3,17,-1.165103079,-2.185945429,-0.978399337,-0.093999123
南充市教育局,2019,3,0,18,-1.907850331,-0.363619727,-1.035047159,-0.261136972
南充市教育局,2019,3,4,19,-2.123358776,-0.879769568,-2.050746264,0.24375069062907037
宜宾市教育局,2019,4,1,20,0.020687172400347495,-0.708405876,-0.097054812,-0.236365541
宜宾市教育局,2019,4,2,21,0.17550464111402433,-0.812085028,-0.171296219,0.27517300626421787
宜宾市教育局,2019,4,3,22,0.03415856601161836,-1.138764867,0.868628001636114,0.5602222862975715
宜宾市教育局,2019,4,0,23,-1.470198313,0.042605221696793885,0.5793786880991413,0.48666346024757184
宜宾市教育局,2019,4,4,24,-2.086535496,-0.067076277,0.011395426034099869,0.3129464846741483
巴中市教育局,2019,5,1,25,-0.412623058,-1.271849731,0.0792533438969615,-0.551979943
巴中市教育局,2019,5,2,26,-0.564809377,-1.359215542,0.30398469949905044,-0.112733652
巴中市教育局,2019,5,3,27,-0.883229281,-1.3989543,1.523331174603881,0.485247801574981
巴中市教育局,2019,5,0,28,-1.545843011,-0.13011421,1.488259378520891,-0.475240322
巴中市教育局,2019,5,4,29,-1.638904023,0.1461576274712968,0.9249592753849027,-0.361965363
广元市教育局,2019,6,1,30,-0.824562594,-1.89451065,0.03248414816475246,-1.451753858
广元市教育局,2019,6,2,31,-1.400745318,-1.744903014,-0.609650857,-1.057240965
广元市教育局,2019,6,3,32,-1.451428937,-1.624287662,-0.364517231,-0.608000502
广元市教育局,2019,6,0,33,-1.901110225,-0.542389142,-1.186038938,-1.909611084
广元市教育局,2019,6,4,34,-1.662737436,-0.936407592,-0.281522828,-1.864470185
广安市教育局,2019,7,1,35,-1.211859438,-2.248697084,-0.368219846,-1.822571737
广安市教育局,2019,7,2,36,-1.362975595,-2.146691618,-0.619245251,-1.662496083
广安市教育局,2019,7,3,37,-1.541229471,-2.228834659,-0.334830442,-1.235959967
广安市教育局,2019,7,0,38,-2.390377102,-0.643567915,-0.905242631,-1.590939989
广安市教育局,2019,7,4,39,-2.143506246,-0.50396644,-0.534852836,-1.418764101
